,formula,disorder
654,Ca1 Co1 La1 O6 Os1,1
655,C1 N2 Ni1,0
656,Br1 Nd1 S1,0
657,Ba2 Hg1 S5,0
658,Ag1 Ca1 P1,0
659,S2 U1.05,2
660,Ba1 Li0.25 O3 Sb0.75,0
661,Ga12 V7 Zn40,0
662,Ba2 Cu2.85 Fe0.15 La1 O8.11,3
663,Fe12 Gd2 P7,0
664,Fe0.33 Ge2 Tm1,2
665,Al1 Ca2 Nb1 O6,1
666,Au2 O8 Sr5,0
667,Al1 Li1,0
668,Fe2.097 Mn0.676 O4 Zn0.227,1
669,K1 P1 Pb1 S4,0
670,Ce0.45 Ho0.55,1
671,Ba1 Ca0.75 Mg1 O8 Si2 Sr1.25,1
672,Ba1.33 O16 Ru8,0
673,Co1 Cs2 I4,0
674,Si1 W4 Zr1,1
675,Br1.8 Cl2.2 Cs2 Cu1,3
676,O4 S3 Y2 Zr2,0
677,Ca18 K3 O56 P14 Sc0.6 Sm0.4,3
678,Ga9.36 Lu3 Pd1.64,1
679,Hf1 Pr2 S5,0
680,B0.96 Re12.38 W6.66,1
681,Er2 Fe3 Si5,0
682,Cu3 K3 P3 Se9,0
683,K0.8 Na0.2 Nb1 O3,1
684,B12 P1.8,2
685,Ag0.2 Au0.8 Te2,1
686,La9 O5 Sb5,0
687,B1.5 Si1.5 W5,1
688,Nd2 Sb1,0
689,Al1.06 Ce0.02 Na0.97 O4 Si0.94 Tb0.01,1
690,Fe10 Ga7 Tm2,1
691,Au2 Nd1 Si2,0
692,Fe4 Mn3 O24 V6,1
693,Ge37.86 In8.14 K8,1
694,Ag1 As1 Na2,0
695,Ba0.6 Bi2 O9 Sr0.4 Ta2,1
696,Mo0.3 Tc1.7,1
697,Fe0.25 Li1.25 O4 Ti1.5,1
698,B8 Ni1 Rh18 Zn10,0
699,Bi1 Ca0.5 Mg0.5 O2.5,0
700,Ca5 Cr3 O12,0
701,Ca2 La8 O26 Si6,1
702,C4.7 B4 Pr5,2
703,Cu16 O14.15,2
704,B1 Co1.2 Fe12.8 Nd2,1
705,B37 Mg1 Na3 Si9,3
706,Fe1.64 S0.51 Se1.49 Tl1,3
707,Bi0.8 Fe1 La0.2 O3,1
708,B3 Br1 O10 Pb6,0
709,Cl10 P4 Se4 Ta2,0
710,Ag1 Co0.5 S4 Sn1.5,1
711,B1 F13 Sn5,0
712,O4 Rh2 Zn1,0
713,C1 Ta0.25 Ti0.25 W0.5,1
714,Co1 F4 K2,0
715,B3 Ba1 Cs1 O6,0
716,Ba1 F1 In1 O2,1
717,Ca0.33 Fe0.2 La0.67 Mn0.8 O3,1
718,K5.908 O31 P6 V6,2
719,Li9.688 Nb4.242 O30 Ti7.07,1
720,Dy2 Si4 Ti3,0
721,O4 Sn0.225 Ti0.675 Zn2 Zr0.1,1
722,Bi0.5 Fe1 Gd0.5 O3,1
723,Ba0.84 Nb8 O34 P5 Rb3,2
724,In11 K8,0
725,F7.1 K6 O15 Ta7.05,2
726,Bi3 Sr5,0
727,B1 F3 Ho2 O3,3
728,Ba2 Ca0.2 Cu3 O6.83 Y0.8,3
729,P1 Se1 Th1,0
730,Fe1 Gd1 O3,0
731,Ag4 Ge1 Hg2 Se6,2
732,Ba1 Cu1 F7 In1,1
733,Mo0.488 Nb0.028 O4 Pb0.972 W0.484 Y0.028,1
734,Ca1 Cu3 O12 Rh4,0
735,Cr1 Te2 Tl1,0
736,Co1 Ho8 In3,0
737,Co0.27 Fe0.63 Si0.1,1
738,Ga0.6 Ni1 Si0.4,1
739,B6 Ca2 Ni21,0
740,Ba7.972 Fe2.652 O24 Tm2.692 U2.68,1
741,Ba0.125 La0.875 Mn1 O3,1
742,Eu3 In1 O1,0
743,Fe6 Ga2 Ge4 Tb1,1
744,As2 Cs4 Te6,0
745,Al0.534 Fe1 Ga2.466,1
746,Ag1 Li2 Tl1,1
747,Cu3 Dy0.667 O12 Ti4,2
748,Ge31 Ni40.7 Sc12.3,2
749,Ba3 Mn1 O9 Ti2,0
750,Al2.2 Cu0.98 O72 Si33.8,3
751,Al11.5 La0.85 O18.5,2
752,Ce0.5 O1.82 Th0.5,3
753,Mg2 Y1,0
754,F6 Na1 Sb1,0
755,Fe17 N5.49 Nd2,2
756,Li2 Si1 Zn1,0
757,Al3 Sc1,0
758,Gd3 Ni8 Sn4,0
759,Cu0.8 Ga1.2 La1,1
760,C6 La1 N9,0
761,Co0.3 Cu1 In0.7 Se2,1
762,Al1 Mg3 N3,1
763,Co1.8 Er1 Mn0.2,1
764,Bi1.5 Ca0.25 O6.5 Ti2,3
765,C1 Cu0.58 Nb2 S2,2
766,Nb16 O55 W5,1
767,Mn2.7 Nd1 Ni2.3,1
768,Hg1 Pd5 Se1,0
769,Bi1 O6 Sb1 W1,1
770,Ga3 Pt5,0
771,N2.85 O0.15 Ta1.94,3
772,C2 Sn1 Ti3,0
773,Ni17 Tm2,0
774,K1.12 Se4 Tl2.88,1
775,Ce1 Ni7 Si6,1
776,P1 Rb3 S4,0
777,La0.972 Ni4.735 Sn0.321,1
778,Fe0.25 Se2 Ti1,2
779,As2 Np1,0
780,Br0.5 Cl0.5 Eu0.01 O12 P3 Sr4.99,1
781,Eu5 Li6 Sn9,0
782,Cl6 In0.5 Li2.5 Zr0.5,3
783,Cu1 La1.975 O4.03 Sr0.025,3
784,O12 Rb2 Si5 Zn1,1
785,Al0.49 Ga0.51 N1,1
786,Al1.3 Gd3 S7 Si0.27,3
787,Bi0.5 Ca0.333 O4 P1 Sb0.167,1
788,Cu2 Ge1 K2 S4,0
789,Bi14 Cr1 O24,2
790,Ce0.5 La0.5 Ni5,1
791,Eu1.77 Na4.23 P4 Si1,1
792,Al1 Bi0.048 F1 O4 Sr2.928,3
793,Mo21 Rb4 S25,0
794,Gd1 P1 S1,0
795,Bi0.77 Ca0.23 Fe1 O3,3
796,Al1 F6 Li1 Na2,0
797,Hg1 K2 Sn1 Te4,1
798,Cu1 Pr1 Sn2,0
799,Au1 Ge1 Ho1,0
800,Ba3 Ir2 O9 Sr1,0
801,Ca1 Ho0.05 La1.45 Mo4 O16 Yb0.5,3
802,Cl3 Cr0.08 Ru0.92,1
803,As9 Pb7 S20,0
804,Ca5 Cl0.88 F0.09 O12 P3,3
805,Fe0.8 Mo1.2 O6 Sr2,1
806,Cd0.25 Fe2 O4 Zn0.75,1
807,O10 Ta3 U1,0
808,Sb0.744 Sn0.006 Te0.321,3
809,Br3.7 Cl5.3 Cs3 Sb2,1
810,Ca1 Cu1 K2 N6 O12,0
811,B0.92 Cs0.92 O12 Si5.08,3
812,C12 Bi1 Co3 O12,0
813,Ag16 As4 Fe0.526 Hg0.474 S15,1
814,La1.2 Mn2 O7 Sr1.8,1
815,Ca0.7 O3 Ru1 Sr0.3,1
816,Lu1 Pt1 Sn1,0
817,C1 Pu1 Rh3,0
818,Ba5 Cu8 O18 Y3,0
819,Mn0.3 Te1 Zn0.7,1
820,Al2.25 O4.875 Si0.75,3
821,Ga0.8 La0.9 Mg0.2 O2.85 Sr0.1,3
822,Nd2 O7 Ru2,0
823,C1 O6 Si3,2
824,C9 La7 Os4,0
825,B5 F3 O7 Sr1,0
826,Ga0.66 Ge5.34 Mn6 Sc1,1
827,Fe2 Y0.5 Zr0.5,1
828,Cr3 Se2 Te2,1
829,Bi1.41 Cu1 O11 Rh5,2
830,Ce0.3 O4 Sr0.6 W1,3
831,As1 Cl2 Hg2,0
832,Au0.33 Ca1 Ga1.67,1
833,Li1 N1 Sr1,0
834,Ni2 Si2 Zr1,0
835,Gd0.78 O6.38 Rb0.42 Sb2,3
836,Gd0.94 Hf4.06 Si4,1
837,Fe2 O8 P2 Sr1,0
838,O15 Pb3 Rh7,0
839,Al1.11 Ba1 Ca1 Co2.89 O7,1
840,Cs4 Ge5 Pb4 S16,0
841,N0.61 W0.92,2
842,Ag3 F8,0
843,Gd3 Zn22,0
844,Cu2.74 O8 Pb2 Sr2 Y1 Zn0.26,3
845,Fe0.3 Mg1.7 O4 Si1,1
846,Cu0.28 Ga0.02 Ni0.7 O4.052 Pr1.3 Sr0.7,3
847,Cr0.5 Ga1.5 Mn1 Se4,1
848,Eu1 Ga3.46 Li0.54,1
849,Fe0.1 Mn3.16 Nb3.6 O20 Ta0.65 Ti0.09 W1.81,3
850,O3 Ta0.668 W0.306 Y0.19,3
851,La1.2 O7 Y0.8 Zr2,3
852,Ir4 Si10 Tm5,0
853,Eu5 Pt4,0
854,Ga5 Nd3 O14 Ti1,0
855,Al0.1 Fe1.9 Ni0.7 O4 Zn0.3,1
856,Nb1 O7 Sm3,3
857,Al3.6 Ca0.43 Cs2.98 O24 Si8.4,3
858,Pr0.25 Tb0.75,1
859,Cu1.6 Gd1 Ni0.4,1
860,Ge0.042 K1 O5 P1 Ti0.958,1
861,In0.2 Pd2 Sn0.8 Yb2,1
862,La1 Na1 O4 Si1,0
863,Rh3 Te8,0
864,La0.909 O3 Ru0.931,2
865,Ca1.8 O4 Ru1 Sr0.2,1
866,B1 Ga1 Ni2 O5,0
867,Gd4.5 N1 O11.25 Si3,3
868,Li2 Sb1,0
869,Co0.25 Li1 Mn0.375 Ni0.375 O2,1
870,B1 Bi1 O3,0
871,As4 Cr3 Fe1,1
872,C4 Cl6 Ge2 O4 Ru1,0
873,Mo6 S8 Zn2,2
874,O3 Ti1.92 V0.08,1
875,Al9.176 Fe7.824 Nd2,1
876,Ga1 Lu1 Mn2 O5,0
877,B4 La0.783 O12 Sc2.901 Y0.316,1
878,B5 K2 O12 Sr1 V1,0
879,Al1 Ho1 Ni4,1
880,Co0.5 La1.84 Li0.5 O4 Sr0.16,1
881,Cr2 Cu0.5 Fe0.5 S2 Se2,1
882,B1 Pr1 Pt3,0
883,Co2.5 Pd2.5 Zn8,1
884,F2 I1 K1 O2,0
885,Mo3 Os0.5 Ru0.5,1
886,Co0.92 Mg1.08 O7 P2,1
887,Fe0.8 Ga1 V2.2,1
888,Ag0.372 Te2 Zr1,2
889,Co2 La1,0
890,Au4.97 Ba1 Ga2.03,1
891,Cs1 K2 O8 P2 Sc1,0
892,As2 S4 Sr1,3
893,Cd1 P2 Sn1,0
894,Ga1 Na1 O4 Si1,0
895,Ba1 In2 Nd2 O7,0
896,Fe25 Gd3 Mo0.3 Nb0.7 Ni3,1
897,Am1 F2 K1 O2,0
898,Co1.5 F6 Ni1.5 O6 Sb4,1
899,K1 Mg4 O12 P3,0
900,Ir2 O6.468 Pb2,2
901,Al9.85 Mn1.95 Ru0.21 Yb1,1
902,Ge4 La4 Li1,0
903,B1 Ce1 Rh3 Si1,1
904,Mg2 Tl1,0
905,K1.98 Sb8.02 Se13,2
906,As1.2 Cu3.4 In4.6 Se6.8,1
907,Al0.58 Cr1.42 Fe0.5 Mg0.5 O4,1
908,Ba1 Bi0.75 Na0.25 O3,0
909,O4 Pt3,0
910,Hf1 N2 Nb1,1
911,Ba1 Co2 Nd1 O5.85,2
912,In1 Ni3.32 Te2,2
913,Co5.4 Fe22.2 Nd1.5 Ti1.4 Y1.5,1
914,Fe1 Nd1 Si1,0
915,Na1 Sb3 Zn3,0
916,B4 Dy1 Fe3 O12,0
917,Cs2 F1 Mn1 O9 V3,0
918,Li3 S4 Sb1,0
919,Ca1.1 Co1.9 O8 P2,1
920,Ba1 Co1.6 Fe0.4 Ho1 O6,1
921,Al4 Eu1,0
922,Al8.165 Mo1 Ni1.835,3
923,K3 O7 Si2 Yb1,0
924,Eu1.8 O3 Y0.2,1
925,Cu8 Rb3 Se6,0
926,Bi0.97 Ca0.03 Fe1 O3,3
927,Ca1.85 Cu3.22 O10 Sr2 Tl1.93,3
928,Cu1 Pr5 Se8,1
929,Cd1 Ni4 Pr1,0
930,Co0.9 Fe0.1 Si2,1
931,S1.9 Se5.1,1
932,As2 Co7 O12,0
933,Gd2 Hf1 S5,0
934,Cl2 O5 Re1 Sr3,2
935,C14 B4 Tb15,2
936,Os1 P1 S1,0
937,Ca0.26 Cu1 O2 Sr0.74,1
938,Fe1 Mg1 Mo3 Na1 O12,1
939,B6 N1 O13 Rb3,0
940,Pb3 Pd5,0
941,In1 Mg1 Y1,0
942,Ag0.28 Mn0.86 Sb2 Yb2,3
943,Ba2 Cu1.04 O5.84 Tl1.96,3
944,Bi9 Mg4.45 Sr9,2
945,Cu0.3 Fe2 O4 Zn0.7,1
946,Al1 Ce1 Mn1,1
947,B0.05 Co0.95 Li1 O2,3
948,Co1 O4 W1,0
949,Ce1 Ga4 Os1,0
950,K3 P1,0
951,Ni7.9 Sn4 Y2.9,2
952,Cu4 P2 Se6,2
953,Fe1.95 Ga1.05 O4,1
954,F6 Ti1 Zr1,0
955,Ag7 P3 S11,2
956,K3 O7 Sc1 Si2,0
957,In1 Ni1 Y1,0
958,Cs2 Ge0.8 O7 Pb1.98 Si1.2,3
959,B1 Fe2.2 Rh0.8,1
960,O6 Rh2 U1,0
961,Cu0.01 Fe0.99 Nb1 O5.995 Sr2,3
962,Mn3 Zr1,1
963,C1 O4 Pb2,0
964,Ce16 Ni36 P22,0
965,La0.7 Mn0.839 O2.458 Sr0.1,3
966,Ba1 Fe0.667 O2.64 Ti0.333,3
967,Lu1 S1,0
968,Ga2.66 Mo8 S16,2
969,Al2 Ce0.06 Lu1.94 Mg2 O12 Si2,1
970,B7 Br1 Fe1.59 O13 Zn1.41,1
971,B2 Cr0.94 W0.06,1
972,Pu1 Si1.74,2
973,As1 Na1 Te2 Zr2,2
974,Bi1 Fe1 O7 Ti2,1
975,Nd1 Ni0.2 Ru0.6 Si2,3
976,K4 S6 Sn2,0
977,Ba2 Cu2 O11 Pr2 Ti2,2
978,Ag2 O3 Sn1,2
979,Gd1 Na1 S2,0
980,Cr0.95 Mn0.05 Te1,1
981,Fe0.65 La1 Ni0.35 O3,1
982,Bi2 Cd1 Sr1,0
983,Ba1 N2 O2 Si2,2
984,Co1.4 Ga2.6 Y2,1
985,Co12 Ho2 P7,0
986,Co0.25 Li1 Mn0.1 Ni0.65 O2,1
987,Co4 Nd1 P12,0
988,Fe0.58 Li1.14 O4 Ti1.28,1
989,K1 O6 Sb1 Te1,3
990,Al42.52 Co19.49 Si12.49,3
991,C1 Mn3 Mo3,0
992,Ba2 Gd2 Ge4 O13,0
993,Mo2 O8.66 Pr2,2
994,Cl14 Nb6,0
995,Ba6.2 Si46,2
996,Gd0.2 O3 Y1.8,1
997,As7 Gd2 Ni12,0
998,Al1 Gd0.3 Nd0.7 O3,1
999,Mg2 O4 Ti1,1
1000,Ba2 Cu2.55 Fe0.45 O7.2 Y1,3
1001,F6 O1 Sn4,0
1002,In1 Pr1 Pt4,0
1003,B7 Ho3 Re1,0
1004,Li4.09 Ni0.896 O6 W1.005,1
1005,Fe2 Rb6 Se6,0
1006,C6.12 Al20.64 K20.56 O204.24 Si75.36,3
1007,Fe1.95 Mo3 N1 Pd0.05,1
1008,K1 Li0.66 Nb4.476 O21 P3 W0.524,3
1009,Br1 La5 Sb3,0
1010,Ag1 Er1 O8 W2,0
1011,Pd7.72 Te2.19 Zn1.09,1
1012,Ag3 Cd1,1
1013,Ni80.28 Si51.72 V96,1
1014,B4 Ru4 Yb1,0
1015,C9.576 Al12 Na12 O67.152 Si12,3
1016,Al70.97 Cu34.26 Ru17.46 Si13.71,3
1017,Co0.03 Fe0.97 Se0.5 Te0.5,1
1018,In1 Pr1,0
1019,Ba0.5 Co0.25 Fe0.75 O2.71 Pr0.5,3
1020,Cr0.615 Mn0.385 P4,1
1021,Al2 Co0.04 O4 Zn0.96,1
1022,Mg1 Mo0.2 O6 Sr2 W0.8,1
1023,Ca0.3 Cs0.3 Gd0.7 P1 S4,3
1024,Ge1 Mn3 N0.75,2
1025,As4 Pb9 S15,0
1026,Ce1 Ru4 Sb12,0
1027,B4 Pu1,0
1028,Ce2 Pd2.06 Sn0.94,3
1029,O2 Rb2 Zn1,0
1030,Ba1.286 Ca0.429 Cu2.886 Fe0.114 La1.071 O7.032 Y0.214,3
1031,Ag2 As4 Cl6 Hg6,0
1032,K3 Li3 O6 Te1,0
1033,As0.95 Se0.05 Sn1,1
1034,Ba0.167 La0.833 Mn1 O2.5,1
1035,Cr0.47 Cu0.81 Hg0.53 O4.6 Sr2,3
1036,Nb0.15 Tc0.85,1
1037,Cd1.67 Cl6 In0.47 Li1.25,3
1038,Al1 Co1 Nb1,1
1039,Mn1 O21 Pb8 Si6,0
1040,As0.5 Fe1 Mn1 P0.5,1
1041,Co8 Rh1 S8,0
1042,Co0.6 Fe0.4 O3 Pr1,1
1043,Eu0.966 Mg17 Sr0.966,3
1044,Ba5 Ga6 P12 Sn1,1
1045,Bi2.53 Li0.29 Nb2 O9,3
1046,Cu1 O3 Sr1,0
1047,Cu12.42 Ga10.58 Zr6,1
1048,Ce2 Ni0.8 Si1.2,1
1049,Ni0.10664 P2.666 Ta1.22636,1
1050,Ca1.08 La8.92 O26 Si6,1
1051,Ga0.3 V1.8 Zr0.9,1
1052,Al1.14 Mn0.86 O5 Si1,1
1053,B2 Ru3 Th1,0
1054,O6 Sb2 Sr1.36,2
1055,Dy1 Ge1.62,2
1056,Ga2.95 Gd1 In1.05 Pt2,1
1057,Au3 Dy1,0
1058,Li0.956 Mn2.044 O4,1
1059,B2 Co0.57 Nb2.43 Ru5,1
1060,B3 Ba2 Li0.5 Na0.5 O9 Sr2,3
1061,Ge1 S1 U1,0
1062,Cl4 Li2 Zn1,0
1063,Ag4.96 Te3,2
1064,Al2 Sc1,0
1065,Li1 N1 Zn1,0
1066,Na1 S7 Si1 Sm3,0
1067,B1 O3 Tm1,2
1068,Ba1 O3 Y0.115 Zr0.885,3
1069,Cu2.85 O7.302 Re0.15 Sr2 Y1,3
1070,Cr0.43 Mn0.48 Se1,3
1071,Br1 Hg2 P3,0
1072,Cr0.2 Mn0.8 Ni2 Sn1,1
1073,Cu1 P1 Si1 Zr1,0
1074,C6 Co6 O6 S32,0
1075,C3 Cr2 Dy2,0
1076,Ga0.333 Li2.82 O4 Si1,3
1077,Al6 Ba1 Mg2 O30 Si9,1
1078,La3.003 Li6.073 O12 Ta1.088 Zr0.912,3
1079,As2 Cu1 Dy1 Zn1,1
1080,Ge3.08 Na0.71,2
1081,C0.25 Cr0.5 Rh0.5,3
1082,C1 Fe20 Si2 Sm2,3
1083,Co0.01 Sn0.99 Te1,1
1084,Li0.95 Nb0.98 O3 Zn0.07,1
1085,Ag1 Al1 S2,0
1086,Ba1 F4 Sn1,1
1087,C4 Al12 Co4 Na4 O52 Si12,3
1088,S4 Tm2.67,2
1089,K1 Sb1 Se2,0
1090,K0.15 La0.7 Mn1 O3 Sm0.15,1
1091,Fe0.15 La0.67 Mn0.85 O3 Sr0.33,1
1092, Al1.8839 Cr0.0008 Fe0.2194 Mg0.8826 Mn0.0088 O4 Si0.0005 Zn0.0031,1
1093,Co3 O6 Te1,0
1094,Fe10.99 Na2.4 O16.03,2
1095,K1 O8 W2 Y1,0
1096,Be2 Cr2 La6 S14,0
1097,Cd1 Cr1.62 Se4 Ti0.42,1
1098,Ga0.34 La2 S5 Sb1,3
1099,As1 Cr0.1 Mn0.9,1
1100,Bi12.03 O20.27 V0.89,3
1101,Ba2 Cu1.14 O6.04 Tl1.86,3
1102,Ni0.33 Pt0.33 Sn0.34,1
1103,Bi0.2 Mn1 O3 Pr0.4 Sr0.4,1
1104,La0.522 Li0.432 O3 Ti1,2
1105,Mn2 Na1 O4,0
1106,Co1 Ho4 Sn8,2
1107,Cu0.5 O5 P1 Ti1,0
1108,Ni0.8 Pt0.2 U0.79,3
1109,Ba1 Mn0.2 O3 Ru0.8,1
1110,Ag1 Bi0.665 Pb0.035 Sb0.3 Se2,1
1111,In1 Pd1 Y1,0
1112,Al1 Na0.883 O4 Si1,2
1113,Pb1 Sb2 Te4,1
1114,Fe1 O3 Y0.986,2
1115,Na0.35 Nd0.35 O3 Sr0.3 Ti1,1
1116,Ga1 La1 O4 Sr1,1
1117,Ba1 Br2 F8,0
1118,Cu5 In7 Yb1,1
1119,Cu0.5 Si1.5 Th1,1
1120,Ba3 Er2 P4 S16,0
1121,Ca19 Ce1 O56 P14,1
1122,Dy4 Ge6 Ir7,0
1123,Ga1 La0.88 O3 Sr0.12,1
1124,Al1 Fe16 Sm2,1
1125,Cd0.17 Ce0.68 O4 P0.99,3
1126,La1.1 Ni1 O8 Ru1 Sr2.9,1
1127,Mo1 Na4 O5,0
1128,In1 Tb2,0
1129,Ba0.52 La0.48 Mn1 O3,1
1130,Ce1.662 Co9 Mg1.338,1
1131,Bi2 O5.94 U1,2
1132,La1.8 Ni1 O4 Sr0.2,1
1133,Ge3 Pt1 Sr1,0
1134,Na1 O2 Pr1,0
1135,Ce3 Rh5 Si1,1
1136,Ga3.33 Nd6 S14,2
1137,Ca1 F1 Na2 O4 V1,0
1138,B1 Bi1 Cd1 F10,0
1139,Al1 Au1 Sc1,0
1140,Ba2 In1 Pr1 Se5,0
1141,Cr0.43 Ti0.32 V0.25,1
1142,Al0.67 P1 S3,2
1143,B1 Ge0.3 Mo1.7,1
1144,Fe0.18 Se2 Zr1,2
1145,Ho1 Mn0.895 O3.057 Ti0.105,3
1146,As12 Fe4 La1,0
1147,Gd1 In2 Rh1,0
1148,Ba1 Ga0.8 Hg5.2,1
1149,Al1 Pt1 U1,0
1150,B10 Er3 Ni19,0
1151,Ba3 Ga1 Nb9 O30 Sr3,1
1152,Cs1 O12 P4 Pr1,0
1153,S0.65 Se0.35 Ta2,1
1154,Pd0.37 Zr0.63,1
1155,Cu2 Eu1 Nb1 O7.87 Sr2,2
1156,Co1 O6 Sr2 U1,0
1157,In1 K5 Mo4 O16,0
1158,Pd0.89 Sn2,2
1159,N3 Nb1 Sr2,0
1160,Cd0.8 Co0.2 S1,1
1161,Eu1 Se4 Yb2,0
1162,B4 Co11 Lu3,0
1163,Cu2.5 S2 Yb0.5,1
1164,Mn0.32 Ni0.68 O3 Ti1,1
1165,B6 Nb1.51 Ni20.91 U0.58,1
1166,Ho6 Sb14 Zn1.13,2
1167, Ag1.86 As7.06 Bi0.1 Cu1.73 Hg0.24 Pb19.13 S56 Sb16.47 Tl0.24,3
1168,Cl5 Cs2 Dy1,0
1169,As1 Cu1 Ge1 Zr1,0
1170,La2.6 Li6.6 Mg0.4 Nb0.8 O12 Zr1.2,3
1171,Cr1 Na2 Ni2 O12 P3,1
1172,Ce4 Cr1 S7,0
1173,Fe1 Sb1,0
1174,Fe0.5 Ni0.5 U6,1
1175,Al1 Co1,0
1176,Bi0.5 Ca0.4 Cu2 Hg0.5 Nd0.6 O6.6 Sr2,3
1177,Cr2 Fe10 Ho1,1
1178,Mo0.11 Se8 Si2 Ta10.89,1
1179,Al0.82 Li4.66 Se4 Sn0.22,3
1180,C2 Co1 Sm1,0
1181,Ca0.425 N1 Nb1 O2 Sr0.575,1
1182,Cs2 K2 O5 Te1,0
1183,Fe1 Mo3 Na1 Ni1 O12,1
1184,Dy0.07405 O1 Zn0.8886,3
1185,Ga3 La2.25 Lu2.75 O12,1
1186,Ca0.1 Cu2 La1.9 O6.246 Sr1,3
1187,B0.8 Rh3 Y1,2
1188,Al1.46 Li2.54 N0.93 O3.07 Sr1,1
1189,Au2 In4 Pr1,0
1190,Au0.5 Cr0.5,1
1191,La2 O9 Si1 Ti2,2
1192,Nd2 Ni7,0
1193,C4 Co1 Hg1 N4 S4,0
1194,Bi1 Sm1,0
1195,Ir3 Lu2 Si5,0
1196,B1 Bi1 Ni2 O10 P2,0
1197,Be33 Pt16 Y4,0
1198,Fe2.2 Li0.6 O4 Ti0.2,1
1199, Al2.06 Be2 Cs0.74 F2 K0.14 Na6.1 O39 Rb0.02 Si15.64 Zn0.3,1
1200,Fe1 Si1 Ta1,0
1201,Bi1 Br1 O2 Pb1,1
1202,B1 Rh3 Yb1,0
1203,Li1 Na1 S1,0
1204,Bi23 O44 V4,2
1205,Fe5.2 Mo6.5 Si1.3,1
1206,Rh2 Y1,0
1207,Ce1 Re4 Si2,0
1208,Ga0.125 Ni1 Sb0.875,1
1209,Dy1 Ga3 Mn0.46,2
1210,O7 Sm2 Ti2,0
1211,Cd3.08 Er9.92 Fe1,1
1212,B1 Nb5 Si3,0
1213,C2 Ca1 Fe0.68 Mg0.32 O6,1
1214,Al2 Ba1 S4,0
1215,Ba2 Cu3 Nd1 O6,0
1216,F3 Na1 V1,0
1217,As1.02 F0.13 Fe1.02 O0.87 Sm0.99,3
1218,Co0.0001 Fe0.984 Li1 Mn0.0001 Ni0.016 O4 P1,1
1219,La2 O6 Ta1 Zn1,0
1220,Mo1.5 O6.67 Sr3 Zn0.5,3
1221,C1 Fe4,0
1222,Al2 Pd1,0
1223,Al4.56 Ca1 Pd3.44,1
1224,Ca0.42 Pb0.58 S1,1
1225,Al2 O21 Pb6 Si6,3
1226,Er0.1 Ho0.9 Mn1 O3,1
1227,I1 O4 P1 Sr2,0
1228,B2 Co3 Tb1,0
1229,Ge0.88 Si0.12 Th1,1
1230,Ca0.95 Dy0.02 Eu0.03 O3 Ti1,3
1231,Cu2.13328 Mn0.6039849 Se3.9999 Sn1.3333,1
1232,F1 Li1 O4 Si1 Sr2,0
1233,Ho14 In3 Pd2.95,2
1234,Al16 Co7 Zr6,0
1235,Sb3 Yb4,0
1236,Ba2 Cu2.758 Fe0.239 O7.26 Y1,3
1237,Al1 Cl4 Tl1,0
1238,Fe1 Ge1 Hf1,0
1239,Co0.05 La0.67 Mn0.95 O3 Pb0.33,1
1240,Bi0.8 Sb1.2 Te3,1
1241,Pb0.78 S1.86 Se0.14 Sn1.22,3
1242,K2 Mg2 Nb4 O13,1
1243,Co1 Pu6,0
1244,O7 P4 Se1,0
1245,Co3 Ga9 Yb2,0
1246,B5 Eu2 Os3,0
1247,Ba1 Lu0.667 Mo0.333 O3,1
1248,C1 Au1 Cl3 S2,0
1249,B2 Mg1 Ni2.5,3
1250,Nd1 O3 Rh1,0
1251,O6 Pb1 Sb2,0
1252,Ce1 N1 O2 Si1,0
1253,C0.48 Fe21.5 Ho2 Ti2,1
1254,Al12 Nd3 Ru4,0
1255,Pd0.85 Yb0.15,1
1256,Fe2.8 In0.95 O6 Sn0.25,1
1257,La1 Mg0.2 Mn0.8 O3,1
1258,Ag4 N2 O2 S1,0
1259,As2 Cd2.4 Mn0.6,1
1260,Ca2 Nd1 O6 Ta1,1
1261,Co16 Ge1 Sm2,1
1262,As4 Sr4 Ti1,0
1263,Ag0.65 Bi0.85 Br6 Cs2 Sn0.33,3
1264,Al3 Ce0.08 Lu2.92 Mg1 O12 Si1,1
1265,Eu0.81 S1 Tb0.19,1
1266,Ag13.02 Al7.98 Eu3,1
1267,Mn0.26 N1 O2 Ta1 Zn0.74,3
1268,B2 La2 O24 S6,0
1269,Pd2.4 Rh1.6 Se8,1
1270,S11 Ta2 Tl4,0
1271,Co4.38 Fe0.69 Ho0.92,1
1272,Ba1.4 Cu3 O6.91 Sm1 Sr0.6,3
1273,C2 Cl9 La5,0
1274,Cs4 Si4,0
1275,Co3 Y4,2
1276,Bi1.8 Fe0.12 Ga1.08 O7 Sb1,3
1277,Ba5 F5 Ga1 Li1 N3,0
1278,Cl1 K0.92 Tl0.08,1
1279,Fe0.6667 Nb0.6667 O4.0002 Ti0.6667,1
1280,Ba0.48 Ca0.51 O3 Sn0.16 Ti0.84,3
1281,Al2 Gd3.84 O9 Tb0.16,1
1282,Co1 Gd3,0
1283,Ca0.2 Fe1 O3 Pr0.8,1
1284,Pd4 Pr3,0
1285,Ca4.8 Li0.2 O28 P7 Sr5.6,3
1286,Gd1 La1 O3,1
1287,F2 Nd3 O4 Se2 Ta1,0
1288,Cr0.5 K2 Mo1.5 O8 Pb1,1
1289,Co0.8 Cr2 Ni0.2 S4,1
