,formula,disorder
51226,N2 Ta1 V1,S
51227,C6 Cr18.93 Fe4.07,S
51228,Co1 O6 Pb1 Pr1 Sb1,S
51229,Br1 Hg2 I3,S
51230,Mo1 O7 Sm3,V
51231,B3 Cs3 Se10,O
51232,Fe0.4 O4 Ti0.6 Zn1.8 Zr0.2,S
51233,As1 Ni3 O8 V1,S
51234,Fe1 Na1 S2,O
51235,In1 Pt1 Sc1,O
51236,Ge0.5 Li4 Se4 Sn0.5,M
51237,La4 O22 Si4 V4.73 Zn0.27,S
51238,Al6 Br2 Ge6 Na8 O24,O
51239,Cs11 N11 O3 W2,S
51240,Dy1 Ni3.13 Sn1.87,S
51241,C1 Mo1.5 Nb0.5,M
51242,Nd3 Zn11,O
51243,Co2 Ho1,O
51244,Co1 O2.81 Sr0.9 Tm0.1,M
51245,Cu1 Nb3 Te4,O
51246,As2 F12 S19,V
51247,Ga2.67 O4,V
51248,Fe0.5 Ga0.5 Ti1,S
51249,O2 Pa0.5 Pu0.5,S
51250,Ce0.89 Mg2 Y0.11,S
51251,Fe0.89 Mo1 O6 Sr2 V0.11,S
51252,Mg0.5 Ni0.83 Ti0.67,S
51253,Na2 O9 P2 U1,O
51254,La0.1 O7 Ti2 Y1.9,S
51255,Cu1.815 Fe1.815 Mo3 O12,M
51256,Ce1 Pt1,O
51257,In1 Mg1 Tm1,O
51258,As7 Co12 Gd2,V
51259,Bi2 Ni2 Sm1,O
51260,Cu2 In1 Tm2,O
51261,Ba1 Cu1 Fe1 Lu1 O5,O
51262,Dy3 N1 Te3,O
51263,Cu8 K3 Se6,O
51264,Cr1 Mo1 O3,S
51265,Ba2 Gd2.9 Li2.86 Mo8 O32 Yb0.24,S
51266,Ba1 Se3 Ti1,O
51267,Al5.36 Pd16.28 Zn80.2,M
51268,Cu1 Na1 O2,O
51269,As4 Ba3 Sn2,O
51270,Al1 Ca3 N3,O
51271,Cu1 Fe13 Pr6,O
51272,Hf1 N2 Sr1,O
51273,B2 Mg3 O8 Ti1,S
51274,Ca5 N6 Si2,O
51275,Cs0.06 Fe1 Ge1 O4 Rb0.94,S
51276,Co2 In1 Nd1,O
51277,Ba3 Fe2 O14 Si2 Te1 Zn1,S
51278,C2 Ce0.33 U0.67,M
51279,Ga16 Ru7 Zr6,O
51280,Ga1.44 In1.56 Rb2,S
51281,Ba2 Mn0.71 Mo1 Nd0.29 O6,S
51282,Ce4 O7 Se3 Si2,O
51283,Bi0.45 Ca0.1 Na0.45 O3 Ti1,S
51284,B1 Co12 Pr2 Si2,S
51285,C1 Co6 W6,O
51286,Cd4 Pt2 Sr1,O
51287,In1.88 Mn1.12 O4,S
51288,Fe2 Hf0.71 Sn0.29,S
51289,B1 O8 P1 Pb4,O
51290,B1 O2 Se1 Y1,O
51291,Ag8 S3.9 Sn1 Te2.1,M
51292,B1.68 Ce1 Pd8,V
51293,Ce1 Pd3,O
51294,Bi0.95 Fe0.97 Mn0.03 Nd0.05 O3,S
51295,Au1 Sr1,O
51296,Cs1 La1 O8 S2,O
51297,Nb2 Pd0.953 Se5,V
51298,Al1 Ca0.023 K0.155 Na0.73 O4 Si1,M
51299,Ba1 Fe2 P2,O
51300,Ga0.2 In1.8 O6 Te1,S
51301,Al11 Mg1 Nd1 O19,S
51302,Cu1.988 O12 Ta4,V
51303,Cd3 Sc1,O
51304,Rb2 Se4 W1,O
51305,Al0.97 Cu0.1 Fe1.9 Si0.03 V1,S
51306,Ba0.427 Si2 Sr0.573,S
51307,Fe2 La2 S5,O
51308,Bi0.4 O1.8 U0.6,M
51309,Ba2 Cu3 O6.15 Y1,M
51310,As1 Mn0.95 Ni0.05,S
51311,Dy3 Ni1 Si3,S
51312,Cd0.2 O4 Sn1 Zn1.8,S
51313,Ga4.012 Mn0.997,V
51314,La0.307 Y0.693,S
51315,Ca3 Cl2 Ge1 O4,O
51316,Al1 Co2 Ho2,O
51317,Cl9 Cs3 In2,O
51318,Br1 O1 Pr1,O
51319,Al2 Pr0.8 Y0.2,S
51320,B1 Ba1 O8 P2 Rb1,M
51321,Cu0.1 Fe0.9 Rh2 S4,S
51322,Au1 Pr1 Sb2,O
51323,In20 Rh9.4 Tb10,V
51324,Hg3 Zr1,O
51325,Al1 Cs6 Sb3,O
51326,Al1 Dy2 Ni2,O
51327,As3 K5 O10,O
51328,Li0.7 Mn0.5 Ni0.5 O2,M
51329,Ag0.32 Bi4 Cu1.68 Pb1 Se8,M
51330,B5.892 La1,V
51331,Cs2 Fe2 K4 O5,O
51332,Ni2 Sc2 Sn1,O
51333,C1 Ge9 Nd15,O
51334,Cu3.17 Si1,V
51335,Bi3.94 Fe24 O56 Sr9.94,M
51336,Bi3.12 Nb2.88 O13.51 Zn1.84,M
51337,Al0.33 Ni0.27 Ti0.4,M
51338,F6 Ga1 K3,O
51339,Cs2 Ge1 Li2 O4,O
51340,Cr0.7 Mo0.3,S
51341,Gd0.5 Mn1 O3 Sr0.5,S
51342,Fe2 Ga2 S5,O
51343,Cs2 Mn1.68 S4 Zn1.32,S
51344,Mo2.75 Ru0.25 Sb7,S
51345,Cu2 Ho1,O
51346,Ba1 In4 Ni2 O15 Sc4,S
51347,Bi0.5 Lu1.5 O7 Ru2,S
51348,B3 Cs0.36 F6 K2.64 O3,S
51349,As1 Te1,O
51350,C8 Al3 V12,V
51351,Fe4 Lu2 Si9,V
51352,Ba2 Cu3 O6.9 Pr1,V
51353,La2 Ni1.333 O6 Sb0.5 Ta0.167,S
51354,Cl2 S5 Sb4,O
51355,Ho1 La1 O7 Si2,S
51356,Fe2.25 Ga1 Mn0.75,S
51357,Cr3.072 Se8 Ti1.788,M
51358,Cl1 La3 Se4,S
51359,Al0.075 N7.925 O0.075 Si5.925,S
51360,B2 Ni2 Sr1,O
51361,Ir0.88 Os0.12,S
51362,Bi0.64 Ho2 O2 Sb0.36,S
51363,Cl6 K2 Mo1,O
51364,Ga2 Ge2 O14 Pb3 Te1 Zn1,S
51365,Co14 Cr3 Pr2,O
51366,Cl4 Mo3 S7,O
51367,As1 B1,O
51368,F6 K1 P1,V
51369,Ce5 Pb3,O
51370,Ag2 La2 O10 Ti3,O
51371,Ca1.76 F2 Ga2.38 Mg4.6 Na0.8 O22 Si6.26,M
51372,Ca1 Ge2 Mn1 O6,O
51373,Cl10.7 F4.3 Sb3,S
51374,Gd3 N1 O1 Te2,O
51375,O23 Rb6 U5 V2,O
51376,Fe0.2 Sm1 Sn2,V
51377,Co8.5 Fe8.1 Th2.22,M
51378,Al1 Gd1 Mg1 Ni3,S
51379,Al8 Cu4 Th1,O
51380,Al1.8 Ca1.5 Fe1.76 O12 Si2.94,S
51381,Co1.334 Ni1.667 S2 Sn2,S
51382,Al1 Gd1 Pt1,O
51383,Cl3 Cs1.166 In0.809,M
51384,Cs1 Na1 Te1,O
51385,In1 Na3 Sb2,O
51386,B3 K0.52 Na0.48 O9 Sr4,S
51387,Cu0.95 Ni0.05,S
51388,Ba8 Cu2.1 Ge40 Zn3.9,S
51389,Cd1 Cs1 In1 Se3,O
51390,Ag2 Yb3,O
51391,Mo0.2 Se2 Ta0.8,S
51392,O1 Pr10 S14,O
51393,Pt7 Sb4 Sm3,O
51394,Co1 P1 Ta1,O
51395,Pt1 Zr2,O
51396,Al1.2 Ni1.2 Ta0.6,S
51397,As23 Cu44 Sr7,O
51398,Ba2 Cu2.93 O6.38 Y1,V
51399,Na3 O3 Sb1,O
51400,Li0.991 Ni1.009 O2,S
51401,Fe1 Ga8 Lu2,O
51402,La3.99999 Ni2.66666 O11.99997 Ta1.33333,S
51403,C3 Co2 Fe15 Sm2,S
51404,Cu2 Li8 O12 Te2,S
51405,Gd1 Mn0.3 Si1 Ti0.7,S
51406,Bi0.2 Ca0.7 Mo1 O4,M
51407,Al40.4 Cr6.6 Y6,S
51408,Ca1.15 Cu2 La0.651 O6 Pr1.199,S
51409,C2 Ni1 Pu1,O
51410,Cu2 La6 S14 Sn2,O
51411,As2 Co2 Nd1,O
51412,Eu1 Fe2 P2,V
51413,Lu2 Zn17,O
51414,Ba1 Nd2 O10 Ti3,O
51415,Al1.86 Ca0.86 Na0.14 O8 Si2.14,M
51416,La1 Mn0.75 Ni0.25 O3,S
51417,Co0.75 La1 Nb0.25 O3,S
51418,Cl3 F2 Rb2 Sb1,O
51419,As1 Co0.125 F1 Fe0.875 Sr1,S
51420,Fe0.24 Mg1.76 O4 Si1,S
51421,Br3 Gd2,O
51422,Ba1 Co1.5 Nd1 Ni0.5 O5.556,M
51423,As0.5 Ni1 Sb0.5,S
51424,Cr0.06 O2 Ti0.94,S
51425,C1 B2 Ni2 Tb0.082 Y0.918,S
51426,Bi0.9 Fe0.95 Nd0.1 O3 Sc0.05,S
51427,Fe2.689 O4,V
51428,Cu3 N5 Sr6,O
51429,B1 Co2.96 Fe1.04 Y1,S
51430,C1 Ge3 Ho5,O
51431,Bi1 Br1,O
51432,Fe16.25 Gd2 Ti1.08,M
51433,Ba5 O21 Tm8 Zn4,O
51434,Mg4 Na1 O12 P3,O
51435,Al7.9 Cs7.9 Si38.1,M
51436,Ce0.6 Cu2.26 O8.96 Sm1.4 Sr2 Ti0.74,M
51437,Ba1.25 Mn3 Ni1 O12 Sr3.75,M
51438,Ir1 Os1 Th1,S
51439,Cu1 Fe1 Lu1 O4,M
51440,O15 Rh5 Sr6,O
51441,Dy2 In1 Ni1.78,V
51442,Al58 Na21.41 Ni17.58 O384 Si134,M
51443,Ca1 Co1 Gd1 O4,S
51444,Cu2 O2 S2 Sr2 Zn1,O
51445,Cu1 F1.08 La0.813 O1.92 Sr0.187,S
51446,K1 O5 Sb3,O
51447,Al7 Au3 Nd1,O
51448,Au51 Tb14,V
51449,Ge1 Ni0.5 S7 Y3,V
51450,Co0.8 Cu2 Mn0.2 S4 Sn1,S
51451,Fe1 Ni3 Si1 Sm0.5 Tb0.5,S
51452,Bi1.15 Mn1.26 O5.14 P0.91,M
51453,Co0.2 Fe0.8 O2 Sr1,S
51454,Al1.962 Fe0.495 Mg0.544 O4,S
51455,C2 O4 Rb2,O
51456,Cr2 Cs1 La1 O8,O
51457,B4 Nd1 O12 Sc3,S
51458,Ba8 Pt4.7 Si41.3,S
51459,Bi2 Cu2 O9.916 Sr2 Y1,V
51460,C2.5 Er2 Mn17,V
51461,Mn1.44 Pt1 Sn1,O
51462,Cl2 Cr3 F6 K2,O
51463,Ga0.38 O4 P1 Zn0.62,S
51464,Co2 Gd1.8 O7 Sr1.2,S
51465,Co0.5 Fe0.5 Nd0.3 O2.65 Sr0.7,M
51466,Pt0.7 Re0.3,S
51467,Mg1 Pd0.2 Zn1.8,S
51468,Cu1 Gd2 K1 Se4,O
51469,Al1 K3 O3,O
51470, Al0.04 Ca0.418 Cr0.165 Fe0.003 Mg0.402 Na0.582 O6 Si1.986 Ti0.001 V0.403,S
51471,Bi2 S0.15 Te2.85,S
51472,La5 Mo32 O54,O
51473,Cl3 Sc1,O
51474,Ce0.6875 O2 Y0.3125,S
51475,B2 Ba2 Cl1 Ho1 O6,O
51476,Ca8.256 F1.824 Nd0.48 O24 P6,M
51477,As1 Se1 Sm1,O
51478,In10 S21 Sn6,V
51479,Mn3 O6 Te1,O
51480,K3 N5 Ni1 O10,V
51481,Na1 O6 U1 V1,O
51482,Cu1 Na2 O8 Si3,O
51483,Cs1 O25 P6 Si2 Ti3,O
51484,Ag1 Nd1 O12 P4,O
51485,Cu3 Nb0.5 S4 Ta0.5,S
51486,Cr0.9 Li1.029 O4 Ti1.069,S
51487,Cd1 In1 La1,S
51488,K1 La1 Se2,O
51489,As7 Co12 Mg2,O
51490,B3.376 Eu0.084 O10.312 Si0.624 Sr3.873,M
51491,C0.29 Al3.9 Ca1.33 Cl0.58 Na2.62 O25.39 S0.13 Si8.1,M
51492,Ce2 Ni2 Sn1,O
51493,Ba1 Cu1 Ge1,S
51494,La1.02 Mg0.276 Sn2.7039,S
51495,Ba2 Ca0.1 Cu3 O6.55 Y0.9,M
51496,As2 Cd1 F12 N12 O6 S18,O
51497,Ba0.712 Ca0.264 Nb2 Nd0.016 O6,M
51498,Mg1.05 Mo3 Na3.9 O12,M
51499,As2 Fe1,O
51500,Br8.29 K1.7 Re6 S5.71,M
51501,Ga1 Sc1,O
51502,Ho1 Pd1 Sn1,O
51503,Nb2 Pd0.854 Se5,V
51504,C4 B1 Na1 O8,O
51505,Ce0.26 N4 O3 Si3 Y1.74,S
51506,Th0.2 Zr0.8,S
51507,Cu0.8 In0.2,S
51508,C7 Cs6 N6 Re12 S17,V
51509,Ba6 Cl3 Mn4 O34 Si12,V
51510,K3 O7 Si2 Y1,O
51511,Cu2 Fe1 Nd0.6 O7.06 Sr2 Y0.4,M
51512,Al5.004 Fe3.004 Ge4 O20,S
51513,Ho4 In5 S13,O
51514,C2 B2 Ce1,O
51515,C3 Ag1 Cs2 N3 S3,O
51516,Cu1.54 Li0.98 P2 Pr1,V
51517,Fe0.6 La1 Ni0.4 O3,S
51518,Cu0.9 Fe2 Mg0.1 O4,S
51519,Cr1 Rh2 Te4,O
51520,Mo0.85 O4 Sr1 W0.15,S
51521,Ce5 Ir4 Sn10,O
51522,Cr2 Cu1.84 Te4,V
51523,La0.94 O2.91 Sc1,V
51524,Ce2 O2 Te1,O
51525,Cd1 Cr2 S1 Se3,S
51526,Ba2 Lu1 O6 Ru1,O
51527,Ca2 Cl4 Fe6 O27 Se9,O
51528,Fe0.05 Mn0.95 O3 Sm0.7 Sr0.3,S
51529,Ag7 P1 Se6,V
51530,Cd1 I2,O
51531,Fe0.8 In1.2 Mn1 O4,S
51532,Rh3 Sc1 Si7,O
51533,Bi1.5 Mg0.65 Na0.25 Nb1.5 O6.775,M
51534,Pb1 Pt3 Tl6,S
51535,Cd21 K8 O112 P32 Pb7,S
51536,Co0.67 O3 Sr1 W0.33,M
51537,Bi1 Mn0.7 O3 Sc0.3,S
51538,Bi3 Eu4,O
51539,Fe2 O9 Te3,O
51540,Al1 Li2 Rh1,O
51541,Mo1 Nd0.667 O4,V
51542,La1 O9 Sb3,O
51543,Cs3 In1 Mg3 O36 P12,S
51544,Cl2 O11 Te6,O
51545,C1 B2 La1 Rh2,O
51546,Ag0.352 Si1.648 Yb1,S
51547,Cd0.9 Mn0.1 Te1,M
51548,La1 Mg2,O
51549,Ce1.47 Si4 Y3.53,S
51550,Er4 Fe1 S7,S
51551,As1 Cr1 Rh1,O
51552,S3 Sc1 Tb1,O
51553,Tl3 Yb8,O
51554,Ce1 Ni0.2 Si1.8,S
51555,Li0.981 Mn1.949 O4,M
51556,Al0.1 Mg0.46 Na1 O6 Si2.44,S
51557,Br1 Cr2 O4 P1,O
51558,N2 Pu1.16 U0.84,S
51559,Ca0.75 O7 Sm1 Ta0.5 Ti1.75,S
51560,B4 Ni1 Sc1,O
51561,Ga1 Ho3 Ni1,O
51562,In1 Na1 S1.5 Se0.5,S
51563,Ca1 Mn1 O6 Sm1 Sn1,S
51564,Ba16 O37 Re6,O
51565,Fe1 Mo1 N0.48 O5.52 Sr1.93,M
51566,Bi2 Ce5 Ge1,O
51567,C1 F3 Na2 O3 Y1,O
51568,Cu0.5 Nb0.5 O2.625 Sr1,M
51569,Ba0.5 Ca1.5 N6 O3 Si5,V
51570,Al0.2 Ce1 Fe1.8,S
51571,Eu1 I4 La1,O
51572,Ag0.841 Ga0.159,S
51573,B2 F1 La1 O4,O
51574,Na11 P1 S12 Si0.66 Sn1.34,M
51575,La3 Pd4 Sn6,O
51576,Hf1 Ni1.893 Sn1,V
51577,Ba2 Ca1 Cu2 Hg1 O6.35,V
51578,Cu3 Nd3 Sb4,O
51579,Ba2 Ca0.9 Cu2.14 O8 Tl1.96,M
51580,Ce3 Rh2,O
51581,Nb1 O6 Rb1 Te1,S
51582,Al1 Ba0.02 K0.98 O8 Si3,S
51583,C2 K4 N2 O1,M
51584,Cu2.03 Li2.1 Sn1,M
51585,Fe2 O3 Pr2 S2,O
51586,Hf0.012 O4 Si0.957 V0.043 Zr0.988,S
51587,Eu1 K1 Na1 Nb1 O5,O
51588,C2 N4 Si1,O
51589,K1 P1 Pd1 S4,O
51590,Cu2 La2 O13.4 Sr4 Ti2,M
51591,Mg0.89 Nd2 Pd2.11,S
51592,C0.241 Al3.56 Ca1.22 Cl0.759 Na2.78 O24.723 Si8.44,M
51593,Ce8.67 F0.68 Na1.33 O25.34 Si6,M
51594,B1 Dy2 F3 O3,M
51595,Ca4 Ge1 N4,O
51596,C1 Fe2 Si2 Y2,O
51597,Ba4 O16 Si6,O
51598,Pd1 Se2 Tl2,O
51599,Mg2 Pd1 Sr1,O
51600,Co1 O14 S2 Te2 Y2,O
51601,Ga21 Rh4,O
51602,Al0.21 Be12.79 U1,M
51603,La0.3 O3 Sr0.7 Ti1,S
51604,La6 Pd13 Zn4,O
51605,Cu1 Fe1 S2,S
51606,Al0.22 Ca0.61 Fe0.2 Mg0.72 Na0.25 O6 Si2,M
51607,As1 Cr0.05 Mn0.95,S
51608,Fe1 Ir1 La0.8 O6 Sr1.2,S
51609,Li1 Mn1.05 Ni0.5 O4 Ti0.45,S
51610,Al1.05 B1 Fe0.015 Mg0.92 O4,M
51611,Cu5.143 In2 Sb2,V
51612,Ba1 Mg1 O7 P2,O
51613,Mo3 Sb7,O
51614,Al1.41 Ba0.4 K0.47 Na0.13 O8 Si2.59,S
51615,Gd1 Pd2 Si1,O
51616,C1 Cr0.57 Mn0.43,M
51617,O7 Se2 U1,O
51618,Ba4 In5.6 Mg0.4 O12.8,M
51619,Al30 Ba13.04 Br15.84 O192 Si66,M
51620,Co2 Ga0.932 U2.068,S
51621,Br0.25 Cu1 I0.75,S
51622,Mg5 Si6,O
51623,Cu2 In2 S6 Si1,O
51624,Co0.32 Cu2 Ge1 Mn0.68 S4,S
51625,Fe1 Mo0.96 O6 Sr2,M
51626,Al9 K13.64 O72 Si27,M
51627,Al2.5 B6 Ni20.5,S
51628,Li1 Mn1.579 Ni0.416 O4,S
51629,Cs0.4 F6 Fe1.6 Zn0.4,M
51630,As4 Cu10.5 Fe1.5 S13,M
51631,Cu0.953 Mg0.437 Mo6 S8,M
51632,La0.7 Mn1 O3 Pr0.3,S
51633,Br6 Gd4 Si1,O
51634,Ge0.05 O2 Ta0.3335 Ti0.45 Zn0.1665,S
51635,Fe0.6 Sn1 V2.4,S
51636,Cu2 O4 W1,O
51637,Pd9 Te4,O
51638,Bi5 Cu3 Pb3 S12,M
51639,La1 O3 Sc1,O
51640,Ce0.859 O1.99 Pr0.141,M
51641,Mn0.066 Se1 Zn0.934,S
51642,La0.67 Te1.67 U0.33,M
51643,Er1 Li1 Se2,S
51644,Ca0.181 O3 Si1 Sr0.819,S
51645,Al0.055 B3.099 Be0.923,M
51646,F9 Mo1 O1 Sb1,O
51647,Bi1 O4 Sb1,O
51648,Ga9 Ho3 Pt2,O
51649,Mg1 O10 P2 Rb2 W1,O
51650,Ba1.076 La8.924 O25.869 Si6,M
51651,Eu3 Pt2,O
51652,Ce1 Mn1 Ni4,S
51653,In1 N1 Tb3,O
51654,C0.67 N0.33 Ta0.33 Zr0.67,S
51655,C1 Re2.086 Si1.914 Th2,S
51656,B18 Hg2 Rb4 Se18,O
51657,Fe2 Gd2 O7 Sr1,S
51658,La0.33 O3 Sr0.67 Ti1,M
51659,F5 O2 Pb2 V1,O
51660,Cr1.5 Cu1 Fe0.5 O4,S
51661,Co4.75 Gd1 Ge0.25,S
51662,Al0.33 Ba2 Cu2.67 O6.65 Sm1,M
51663,Bk1 P1,O
51664,Cs2 Mo2 O8 Pb1,O
51665,Cd1.985 F2 O24 P6 Sr8.015,S
51666,Ca0.1 Co1 O3 Pr0.9,S
51667,Co1 Ge2 La1,O
51668,Br1 O3 Rb1,O
51669,Cu2 S4 Sn1 Sr1,O
51670,C4.87 Nb6,V
51671,Ba0.985 Dy0.015 O3 Zr1,S
51672,Mg0.024 Mn2.928 O4 Zn0.049,S
51673,Co2 I1 Tb2,O
51674,Ga0.6 Re1 Se4 Ta1,M
51675,I14 Na1 W6,O
51676,Fe2.46 O4 Zn0.54,S
51677,Ca0.75 Lu0.17 Se1,M
51678,Ga1.4 Mn1 S4 Sc0.6,S
51679,Ba2 Ca0.25 Cu2.54 In0.46 O6.67 Y0.75,M
51680,Ce3 Ge3 Mn2,O
51681,Co2 Cu3 Sm1,S
51682,O6 P2 Sr1,O
51683,Ba17 Dy16 O57 Pt4 Zn8,O
51684,Li7 N4 Nb1,O
51685,Cs2 N4 Ni1 O12,O
51686,Al10.7 In1.6 Li0.3 O17,M
51687,As1 Ni1 Ta1,O
51688,B4 Li1 Na1 O7,O
51689,Gd1 Sc1 Si1,O
51690,Mn1.78 Na2.76 O12 S3,V
51691,Cu1 O14 S2 Te2 Y2,O
51692,As1 Co0.5 Ni0.5,S
51693,Co0.334 Ni0.333 O3 Si1 Zn0.333,S
51694,Gd7 I12 Ir1,V
51695,Er1 Hg1,O
51696,Ga1 Ho1 Ni1,O
51697,Bi0.98 Fe1 O3 Y0.02,S
51698,Au2 Pb1 Yb2,O
51699,Al0.22 Ca2.78 Cr0.16 Mn0.17 O12 Si3 V1.62,M
51700,B2 Re0.52 W0.48,S
51701,Ca1 Li1 O6 Pr1 Te1,S
51702,Cu2 In1 Y2,O
51703,Ho1 N1,O
51704,O38 P4 W10,O
51705,Cu1 Ga1 In1 O4,S
51706,Cd0.84 Cs2 Hg5.16 S7,S
51707,Fe14.5 Si2.5 Tm2,S
51708,Ba5 Co4 La2 O15 Sr1,S
51709,La0.718 Mn0.94 O3 Sc0.06 Sr0.282,S
51710,Cd10.13 K1 Na0.87,S
51711,As1 Li1 Mn1 O4,O
51712,Ca9 O28 Tb1 V7,S
51713,Bi1 Cd1 Cl1 S2,O
51714,Ni5 P3 Sr1,O
51715,Ho4 In1 Rh1,O
51716,Ni1 Tb1,O
51717,Cu0.16675 Mn0.75 O3 V0.08325 Y1,S
51718,O2 P1 Zr3,O
51719,Bi1 O7 Sn2 Y1,S
51720,Al0.62 N16 Si11.38 Sr0.31,M
51721,Cu2 Na2 O11 Si4,O
51722,Dy1 In4 Pt4,O
51723,Ca4.2 Mg0.9 O16 Si4 Sr2.91,S
51724,B3 Mg5 Nb1 O12,O
51725,Fe0.925 Ni0.075 O2.75 Sr1,S
51726,B1 Cs0.7 K0.3 O6 Si2,M
51727,Ag1 Cs1 O1,O
51728,Co1.4 Ga2.6 Yb2,S
51729,B9 Be7 Li13 O27,O
51730,F2 O1 Ti1,S
51731,Fe1 Mn1 P0.61 Si0.39,S
51732,Li8 O6 Zr1,O
51733,Ce4 Mn1 O1 Se6,O
51734,Bi0.18 Ca0.82 Mn1 O3,S
51735,Co2 Ge2 Ho1,O
51736,Ge13 Pt4 Yb3,O
51737,Mn0.8 P1 W0.2,S
51738,Ca0.6 Mn1 Nd0.4 O3,S
51739,As1 B1 Cs3 P1,M
51740,Ru1 Sn1 U1,O
51741,Ba3.14 Nb4.56 O11.86 Zr1.16,M
51742,La0.55 Mn1 O3 Sr0.45,S
51743,As7 Ni12 Tm2,O
51744,Ba6 Cu3 O10.44 Y1,M
51745,Ca0.8 Mg1.2 O6 Si1.99,M
51746,Na1 O8 Pd6 Tm1,S
51747,F6 Hg1 Pb1,S
51748,C3 Br1 N1,O
51749,Pd34 Se11,O
51750,Ce1 Ni4.35 Si0.65,S
51751,Cu12.24 Eu6 Fe12.76 S27,S
51752,Co1.33 Dy1 Ga0.67,S
51753,Ca9.19 Fe0.69 Mg0.31 Na0.49 O28 P7,M
51754,Cu0.05 Ni0.95 O1,S
51755,Ho1 Ir1 Sn1,O
51756,Cd108 Pd32,O
51757,Mo1 Si4 W1,S
51758,Ce0.9 O1.95 Sc0.1,M
51759,In0.8 O3 Sn0.6 Zn0.6,S
51760,Ag1 Dy1 Ga1,S
51761,B1 Na3 S3,O
51762,B2 Nb0.849,V
51763,B3 V2,O
51764,Ge1.5 La1 Ni2 P0.5,S
51765,Er0.9 Ho0.1 Mn1 O3,S
51766,Ba2 Ca3.4 Cu4 O11.96 Tl1.482,M
51767,Na5 O16 Tb1 W4,O
51768,Ca6.5 Li4 Mg15.5 Zn13,S
51769,B6 Ba1 F2 O24 Si3 Y6,O
51770,Fe2.17 O4 Ti0.54,M
51771,Co2 Lu1 Si2,O
51772,Ag2 Sr1,O
51773,Al0.23 Li1.3 O12 P3 Ti1.7 Y0.07,M
51774,Bi0.9912 Ca1.56 Mn2 O9 Pb0.6608 Sr1.44,M
51775,Cu0.67 Fe0.33,S
51776,B5.86 Pt12,V
51777,B1 Nb0.051 O4 Ta0.928 Zr0.021,S
51778,Ba1 In2 Na1 O12 P3,S
51779,Ca0.2 Fe1.22 Mg0.24 Mn1.33 O8 P2 Zn0.01,S
51780,Cu0.75 Ni0.25 Ti2,S
51781,Eu1.4 Ni1 O4 Sr0.6,S
51782,Cr1 S7 Yb4,S
51783,Cr1.7 Ni1 S4 V0.3,S
51784,C0.08 Al3.52 Ca0.576 Cl0.92 K0.24 Na3.008 O24.24 Si8.32,M
51785,Fe0.1 O0.8 Zn0.9,M
51786,O1 P1 Pr1 Zn1,O
51787,Cd58 Y13,O
51788,K1 O5 P1 Ti0.97 Zr0.03,S
51789,Cs1 Ga0.33 O6 W1.67,S
51790,Hf2 Ni1,O
51791,C1 Nb2 S1,O
51792,Ba1.6 Cu3 Nd1 O6.94 Sr0.4,M
51793,Cu1.29 Ga2.51 Y0.975,M
51794,Li0.95 Mn2.05 O4,S
51795,Ba7.996 Fe2.132 O24 U2.668 Y3.204,S
51796,Cu0.52 Sb1 Yb1,V
51797,F7 K2 Mn2 Rb1,O
51798,Li1.321011 O3.996 Sm0.0333 Ti1.64169,S
51799,Dy1.4 O3 Y0.6,S
51800,Cu1 Ga2 O12 Se4,O
51801,Nb2 Pd0.746 Se5,V
51802,Co1 Ir1 V6,S
51803,Cu1 O7 Si2 Sr2,O
51804,Au0.28 Ce1 Ge1.72,S
51805,Ca5.31 Cu0.69 O33 Pb8.34 Si9,M
51806,Fe6 Sn6 U0.35,M
51807,Cu0.978 In1 Se1.988,V
51808,Mn2 Pu1 Si2,O
51809,S3 U4,O
51810,Ce0.3 La2 O7 Zr1.7,S
51811,C1 Co1 Fe1 O9 Sr4,M
51812,Ba8 O17.5 Pt4 Y3,V
51813,Na3 O7 Si2 Y1,V
51814,Al2.36 Mg0.45 Mn0.01 O4,M
51815,Cu3 Dy0.911 O8 Pb2 Sr2,V
51816,C2 Ce2 Cl1,O
51817,Fe1.5 Si0.5,S
51818,Ir0.8 Os0.2,S
51819,Bi1.96 Nb2 O9 Pb0.12 Sr0.86,M
51820,F29 Na3 Th6 Zn1,V
51821,Co1 Nb2 O8 Zr1,S
51822,Al3 Co0.55 Cu1.45,S
51823,Gd1 Ge1 Ti1,O
51824,B6 La0.5 Sr0.5,S
51825,In1 Mn1 Na3 S4,S
51826,Mn1 O7 Ru1 Sr3,S
51827,Ge1 O4 U1,O
51828,Al2 Ca1 Cl3 O12 Si4,S
51829,Al1.97 Fe0.3 Mg0.03 O4 Zn0.7,S
51830,Ba0.35 Nb2 O6 Sr0.65,M
51831,Ni3 O24 P6 V4,S
51832,Ca3 Ga3 Ir2,O
51833,Cr6 Fe18 Mo5,S
51834,Ca0.7 Co1.35 O9 Rh1.65 Sr3.3,S
51835,Li1.033 Ni0.45 O2 Ti0.517,S
51836,Al50.26 La3.662 Mo7,V
51837,In2 Rh1 Yb1,O
51838,Ca2 O7 Ru2,O
51839,Al1.52 Ca0.52 Na0.48 O8 Si2.48,M
51840,Co0.2 Mn0.8 Na0.67 O2,M
51841,Gd1 In1 Pd1,O
51842,Eu3 Rh4 Sn13,O
51843,Ho5 Mo2 O12,O
51844,Nb1 Ti1,S
